id,real_age,user_setage,gender,playcard_level,playcard_point,playcard_coupon_num,is_push_open,utm_channel,signup_day,app_version,manufacturer,model,label
8148,31.0,0.0,1.0,97.0,700.0,50.0,1.0,7.0,443.0,68.0,222.0,2285.0,1.0
18233,19.0,,1.0,49.0,700.0,0.0,1.0,20.0,24.0,63.0,222.0,2285.0,0.0
33298,33.0,0.0,1.0,54.0,300.0,0.0,1.0,,533.0,63.0,222.0,2285.0,0.0
19316,61.0,,2.0,70.0,500.0,10.0,1.0,43.0,442.0,68.0,1.0,609.0,0.0
6979,33.0,1.0,2.0,54.0,400.0,0.0,1.0,48.0,537.0,68.0,102.0,1841.0,0.0
26281,39.0,0.0,1.0,65.0,800.0,80.0,0.0,,455.0,68.0,213.0,2157.0,0.0
18210,36.0,1.0,2.0,36.0,900.0,0.0,0.0,7.0,446.0,68.0,213.0,2157.0,0.0
11216,18.0,,1.0,11.0,100.0,40.0,1.0,7.0,262.0,23.0,216.0,2246.0,0.0
15693,20.0,0.0,1.0,61.0,500.0,30.0,1.0,7.0,570.0,9.0,216.0,2246.0,0.0
35091,18.0,,2.0,80.0,700.0,490.0,1.0,,401.0,68.0,216.0,2246.0,0.0
33492,28.0,0.0,2.0,63.0,900.0,0.0,1.0,,681.0,68.0,216.0,2246.0,0.0
22146,25.0,0.0,1.0,20.0,0.0,10.0,1.0,7.0,551.0,68.0,216.0,2246.0,0.0
10008,22.0,0.0,2.0,22.0,600.0,0.0,1.0,,736.0,29.0,216.0,2246.0,0.0
8330,18.0,,2.0,10.0,400.0,30.0,1.0,,394.0,29.0,216.0,2246.0,0.0
21923,29.0,0.0,1.0,64.0,0.0,0.0,1.0,7.0,342.0,73.0,216.0,2246.0,0.0
7548,18.0,,1.0,13.0,0.0,0.0,1.0,,107.0,66.0,216.0,2246.0,0.0
10999,18.0,0.0,1.0,53.0,0.0,0.0,1.0,12.0,308.0,68.0,216.0,2246.0,0.0
22608,25.0,,2.0,31.0,400.0,0.0,1.0,,350.0,68.0,216.0,2246.0,0.0
27679,23.0,,1.0,96.0,300.0,0.0,0.0,7.0,336.0,68.0,216.0,2246.0,0.0
35580,28.0,,1.0,49.0,800.0,10.0,1.0,,19.0,68.0,216.0,2246.0,0.0
26761,,,1.0,,,,0.0,,641.0,73.0,216.0,2246.0,0.0
16392,20.0,,2.0,25.0,200.0,0.0,1.0,,99.0,73.0,216.0,2246.0,0.0
34481,25.0,0.0,1.0,57.0,700.0,0.0,1.0,43.0,725.0,73.0,216.0,2246.0,0.0
9768,34.0,1.0,1.0,15.0,100.0,0.0,1.0,,593.0,62.0,216.0,2246.0,1.0
27297,,,2.0,,,,1.0,,719.0,73.0,216.0,2246.0,0.0
8995,19.0,0.0,2.0,77.0,300.0,10.0,1.0,12.0,592.0,68.0,216.0,2246.0,0.0
995,25.0,0.0,1.0,68.0,100.0,10.0,1.0,43.0,605.0,68.0,216.0,2246.0,0.0
26778,29.0,0.0,1.0,71.0,500.0,30.0,1.0,7.0,497.0,68.0,216.0,2246.0,0.0
173,44.0,,2.0,21.0,200.0,0.0,1.0,,388.0,73.0,216.0,2246.0,0.0
30264,27.0,0.0,1.0,30.0,800.0,0.0,1.0,43.0,909.0,73.0,216.0,2246.0,0.0
25798,71.0,1.0,2.0,51.0,800.0,20.0,1.0,7.0,408.0,68.0,216.0,2246.0,0.0
25180,,,2.0,,,,0.0,,561.0,68.0,216.0,2246.0,0.0
18034,25.0,,2.0,66.0,400.0,40.0,1.0,,561.0,68.0,216.0,2246.0,0.0
29133,19.0,0.0,2.0,53.0,600.0,0.0,1.0,,703.0,73.0,216.0,2246.0,0.0
10260,24.0,,1.0,33.0,600.0,10.0,1.0,,340.0,23.0,216.0,2246.0,0.0
7811,19.0,0.0,1.0,44.0,0.0,10.0,1.0,,518.0,23.0,216.0,2246.0,0.0
14888,22.0,0.0,1.0,68.0,100.0,0.0,1.0,,600.0,73.0,219.0,1281.0,0.0
35739,19.0,,1.0,63.0,800.0,0.0,1.0,,112.0,64.0,219.0,1281.0,0.0
14745,18.0,0.0,2.0,17.0,0.0,0.0,1.0,,606.0,64.0,219.0,1281.0,
29963,28.0,0.0,2.0,15.0,400.0,0.0,1.0,43.0,700.0,29.0,219.0,1281.0,0.0
17055,31.0,,1.0,7.0,800.0,0.0,1.0,43.0,34.0,29.0,219.0,1281.0,0.0
21406,29.0,,2.0,17.0,900.0,0.0,1.0,,287.0,29.0,219.0,1281.0,0.0
32425,27.0,,1.0,14.0,500.0,30.0,1.0,,591.0,29.0,219.0,1281.0,0.0
35730,22.0,,2.0,9.0,100.0,0.0,1.0,,1622.0,62.0,219.0,1281.0,0.0
13841,,,1.0,,,,1.0,,612.0,29.0,219.0,1281.0,0.0
34555,20.0,,2.0,29.0,600.0,0.0,1.0,7.0,1563.0,68.0,219.0,1281.0,0.0
5836,22.0,1.0,2.0,69.0,400.0,0.0,1.0,,1140.0,68.0,219.0,1281.0,0.0
27984,27.0,0.0,1.0,69.0,0.0,30.0,1.0,,611.0,68.0,219.0,1281.0,0.0
28803,33.0,0.0,1.0,69.0,900.0,0.0,1.0,7.0,485.0,68.0,219.0,1281.0,0.0
25736,29.0,0.0,2.0,67.0,900.0,0.0,1.0,7.0,477.0,68.0,219.0,1281.0,0.0
19501,23.0,,1.0,82.0,600.0,0.0,0.0,,230.0,68.0,219.0,1281.0,0.0
13555,25.0,0.0,2.0,71.0,600.0,0.0,1.0,7.0,183.0,68.0,219.0,1281.0,0.0
13162,34.0,0.0,2.0,29.0,900.0,20.0,1.0,,136.0,68.0,219.0,1281.0,0.0
17954,26.0,0.0,1.0,54.0,500.0,20.0,1.0,7.0,602.0,71.0,219.0,1281.0,0.0
2804,25.0,0.0,1.0,71.0,500.0,430.0,0.0,7.0,369.0,68.0,219.0,1281.0,0.0
24453,25.0,,2.0,98.0,500.0,0.0,1.0,,148.0,68.0,219.0,1281.0,0.0
