id,add_all_num,add_under_18_num,add_under_30_num,add_under_setage_num,view_all_num,view_under_18_num,view_under_30_num,view_under_setage_num,msg_all_num,msg_under_18_num,msg_under_30_num,msg_under_setage_num,gift_all_num,gift_under_18_num,gift_under_30_num,gift_under_setage_num
29685,97.0,2.0,50.0,18.0,526.0,16.0,250.0,94.0,75.0,3.0,31.0,20.0,42.0,1.0,19.0,4.0
28338,182.0,9.0,86.0,28.0,2903.0,141.0,1184.0,670.0,236.0,18.0,87.0,60.0,168.0,10.0,74.0,37.0
24957,108.0,2.0,67.0,6.0,1617.0,35.0,987.0,131.0,115.0,3.0,70.0,6.0,33.0,1.0,22.0,4.0
20698,224.0,15.0,111.0,30.0,2627.0,137.0,1363.0,436.0,319.0,24.0,162.0,52.0,111.0,5.0,58.0,22.0
9017,89.0,5.0,63.0,5.0,3567.0,81.0,2188.0,328.0,107.0,3.0,74.0,5.0,87.0,1.0,59.0,5.0
20154,252.0,3.0,173.0,13.0,1634.0,51.0,874.0,222.0,201.0,5.0,112.0,27.0,134.0,5.0,76.0,22.0
12940,48.0,0.0,30.0,4.0,1245.0,36.0,753.0,131.0,86.0,0.0,48.0,7.0,73.0,0.0,43.0,7.0
9543,66.0,2.0,35.0,10.0,430.0,23.0,205.0,94.0,72.0,2.0,33.0,16.0,35.0,1.0,14.0,6.0
35750,29.0,0.0,10.0,8.0,418.0,13.0,168.0,85.0,41.0,0.0,8.0,13.0,23.0,0.0,5.0,11.0
9420,62.0,6.0,40.0,5.0,900.0,49.0,447.0,159.0,72.0,4.0,32.0,17.0,104.0,8.0,49.0,13.0
35690,88.0,4.0,53.0,14.0,2277.0,117.0,1242.0,373.0,153.0,5.0,96.0,19.0,102.0,2.0,70.0,6.0
35153,82.0,6.0,16.0,23.0,2749.0,177.0,833.0,927.0,101.0,5.0,17.0,34.0,89.0,5.0,17.0,24.0
13497,30.0,0.0,12.0,2.0,1152.0,38.0,663.0,142.0,56.0,0.0,28.0,6.0,96.0,3.0,55.0,20.0
31914,126.0,3.0,82.0,11.0,2913.0,77.0,1524.0,428.0,200.0,6.0,116.0,21.0,174.0,6.0,99.0,16.0
32023,67.0,7.0,13.0,31.0,1166.0,72.0,250.0,491.0,133.0,8.0,21.0,67.0,132.0,6.0,20.0,76.0
20205,207.0,8.0,65.0,67.0,1765.0,79.0,575.0,611.0,164.0,8.0,43.0,59.0,109.0,5.0,13.0,47.0
36080,26.0,0.0,16.0,1.0,1311.0,25.0,671.0,156.0,79.0,0.0,36.0,5.0,95.0,1.0,45.0,11.0
2193,18.0,0.0,14.0,1.0,199.0,3.0,118.0,20.0,38.0,0.0,25.0,3.0,23.0,0.0,18.0,0.0
2873,72.0,7.0,37.0,16.0,2404.0,148.0,980.0,588.0,152.0,10.0,44.0,41.0,137.0,11.0,41.0,47.0
33154,124.0,4.0,87.0,6.0,2853.0,73.0,1673.0,355.0,173.0,7.0,108.0,19.0,180.0,4.0,98.0,20.0
22217,229.0,10.0,161.0,17.0,3086.0,119.0,1766.0,391.0,219.0,12.0,143.0,32.0,251.0,12.0,146.0,46.0
33520,267.0,16.0,170.0,44.0,3948.0,158.0,2282.0,522.0,299.0,18.0,196.0,45.0,99.0,7.0,63.0,12.0
22947,42.0,5.0,23.0,8.0,341.0,18.0,188.0,53.0,58.0,5.0,31.0,9.0,48.0,2.0,29.0,5.0
23049,14.0,0.0,13.0,0.0,300.0,7.0,175.0,34.0,103.0,0.0,73.0,5.0,45.0,0.0,23.0,11.0
9888,24.0,0.0,17.0,1.0,669.0,5.0,425.0,26.0,34.0,0.0,21.0,1.0,14.0,0.0,9.0,1.0
27810,29.0,0.0,20.0,3.0,760.0,16.0,483.0,85.0,20.0,0.0,13.0,4.0,131.0,5.0,81.0,17.0
27799,107.0,1.0,70.0,12.0,1312.0,44.0,673.0,194.0,161.0,7.0,87.0,28.0,205.0,13.0,103.0,38.0
35807,222.0,18.0,94.0,41.0,1870.0,140.0,769.0,448.0,206.0,17.0,64.0,51.0,176.0,15.0,69.0,45.0
33401,243.0,6.0,168.0,6.0,3487.0,76.0,2170.0,234.0,367.0,7.0,227.0,24.0,352.0,5.0,240.0,9.0
28347,76.0,6.0,25.0,32.0,2792.0,161.0,846.0,906.0,133.0,6.0,36.0,48.0,60.0,3.0,18.0,22.0
20787,264.0,4.0,178.0,23.0,1212.0,32.0,719.0,152.0,403.0,9.0,259.0,33.0,681.0,10.0,429.0,67.0
35092,9.0,3.0,6.0,1.0,156.0,11.0,82.0,23.0,11.0,2.0,6.0,2.0,33.0,1.0,18.0,2.0
8370,78.0,2.0,57.0,7.0,295.0,6.0,202.0,16.0,35.0,0.0,26.0,0.0,29.0,1.0,19.0,0.0
36267,172.0,6.0,84.0,41.0,2728.0,167.0,1395.0,544.0,210.0,14.0,100.0,49.0,403.0,27.0,195.0,102.0
17750,181.0,6.0,91.0,41.0,2073.0,106.0,790.0,563.0,213.0,10.0,69.0,81.0,104.0,2.0,36.0,30.0
22098,5.0,0.0,2.0,3.0,6.0,0.0,2.0,3.0,5.0,0.0,2.0,3.0,4.0,0.0,2.0,2.0
35993,66.0,9.0,26.0,26.0,878.0,65.0,324.0,270.0,66.0,11.0,23.0,24.0,65.0,6.0,27.0,21.0
18525,161.0,16.0,57.0,47.0,1776.0,110.0,628.0,408.0,205.0,13.0,60.0,65.0,126.0,4.0,30.0,39.0
18984,338.0,28.0,54.0,155.0,3634.0,215.0,691.0,1602.0,257.0,23.0,39.0,136.0,44.0,3.0,5.0,25.0
395,60.0,4.0,28.0,9.0,644.0,24.0,262.0,136.0,28.0,2.0,6.0,10.0,23.0,0.0,2.0,9.0
25426,10.0,0.0,6.0,2.0,170.0,5.0,74.0,33.0,11.0,0.0,4.0,2.0,28.0,0.0,14.0,5.0
23755,48.0,0.0,34.0,1.0,2351.0,60.0,1456.0,192.0,132.0,4.0,78.0,9.0,102.0,1.0,58.0,10.0
17317,203.0,19.0,75.0,52.0,1900.0,127.0,721.0,495.0,200.0,15.0,54.0,52.0,92.0,6.0,28.0,24.0
17037,82.0,2.0,55.0,5.0,837.0,29.0,503.0,85.0,99.0,3.0,53.0,10.0,476.0,17.0,280.0,36.0
25720,116.0,2.0,66.0,9.0,2565.0,40.0,1504.0,193.0,123.0,1.0,69.0,11.0,129.0,0.0,79.0,10.0
10496,237.0,13.0,69.0,74.0,967.0,50.0,265.0,346.0,204.0,10.0,55.0,60.0,172.0,12.0,48.0,68.0
16286,51.0,0.0,30.0,2.0,435.0,13.0,248.0,45.0,50.0,0.0,25.0,3.0,39.0,0.0,21.0,2.0
7237,40.0,0.0,22.0,2.0,169.0,9.0,100.0,15.0,51.0,1.0,27.0,4.0,14.0,0.0,7.0,0.0
11477,37.0,3.0,22.0,4.0,192.0,4.0,101.0,23.0,54.0,4.0,28.0,10.0,58.0,1.0,27.0,10.0
36629,348.0,7.0,191.0,31.0,3528.0,97.0,1823.0,489.0,332.0,8.0,144.0,56.0,170.0,6.0,75.0,30.0
15072,44.0,1.0,33.0,0.0,976.0,23.0,595.0,95.0,104.0,3.0,58.0,13.0,63.0,4.0,44.0,6.0
25711,46.0,2.0,12.0,15.0,419.0,16.0,114.0,148.0,71.0,2.0,14.0,27.0,78.0,6.0,15.0,34.0
7290,139.0,5.0,103.0,7.0,1916.0,45.0,1248.0,142.0,342.0,14.0,223.0,23.0,287.0,7.0,165.0,40.0
26548,20.0,1.0,11.0,3.0,2030.0,129.0,1049.0,311.0,85.0,3.0,41.0,14.0,234.0,12.0,154.0,32.0
15554,168.0,9.0,30.0,56.0,499.0,34.0,108.0,187.0,110.0,11.0,18.0,51.0,81.0,6.0,14.0,34.0
14576,35.0,0.0,14.0,0.0,309.0,2.0,170.0,17.0,43.0,0.0,19.0,0.0,31.0,0.0,17.0,0.0
8814,52.0,4.0,21.0,6.0,828.0,54.0,303.0,213.0,93.0,7.0,35.0,29.0,67.0,3.0,29.0,15.0
20062,55.0,5.0,33.0,6.0,2383.0,79.0,1333.0,359.0,72.0,9.0,50.0,17.0,47.0,5.0,26.0,7.0
29038,477.0,5.0,300.0,21.0,2599.0,69.0,1406.0,343.0,114.0,3.0,57.0,16.0,274.0,9.0,177.0,23.0
27991,14.0,0.0,8.0,2.0,399.0,11.0,223.0,39.0,26.0,0.0,16.0,3.0,28.0,0.0,17.0,1.0
28012,137.0,8.0,88.0,19.0,1315.0,67.0,628.0,279.0,139.0,16.0,72.0,32.0,88.0,8.0,50.0,17.0
3859,24.0,0.0,15.0,3.0,623.0,18.0,306.0,76.0,119.0,1.0,71.0,7.0,196.0,2.0,97.0,20.0
28185,51.0,3.0,31.0,5.0,328.0,10.0,156.0,40.0,26.0,1.0,11.0,3.0,25.0,0.0,10.0,4.0
27335,36.0,2.0,21.0,6.0,368.0,9.0,188.0,45.0,32.0,1.0,18.0,3.0,36.0,2.0,15.0,4.0
17080,24.0,1.0,3.0,13.0,99.0,4.0,22.0,31.0,37.0,2.0,2.0,13.0,12.0,0.0,1.0,4.0
16426,182.0,10.0,31.0,54.0,5171.0,352.0,1488.0,1779.0,230.0,12.0,39.0,77.0,194.0,13.0,43.0,70.0
21080,15.0,0.0,4.0,1.0,2953.0,56.0,1813.0,167.0,77.0,1.0,39.0,6.0,51.0,0.0,23.0,0.0
19736,82.0,3.0,31.0,24.0,413.0,18.0,136.0,97.0,58.0,3.0,15.0,17.0,78.0,1.0,27.0,13.0
14103,251.0,19.0,140.0,37.0,2350.0,159.0,1176.0,440.0,204.0,15.0,112.0,32.0,225.0,13.0,128.0,34.0
26079,255.0,31.0,131.0,42.0,4080.0,347.0,1639.0,948.0,216.0,28.0,91.0,32.0,198.0,31.0,99.0,29.0
34137,823.0,24.0,550.0,61.0,5675.0,185.0,2993.0,975.0,573.0,13.0,356.0,56.0,313.0,8.0,180.0,40.0
33754,49.0,1.0,30.0,3.0,423.0,8.0,217.0,43.0,64.0,1.0,38.0,4.0,39.0,0.0,22.0,5.0
31694,169.0,9.0,70.0,34.0,1223.0,57.0,524.0,315.0,202.0,11.0,71.0,48.0,285.0,13.0,121.0,63.0
24672,109.0,7.0,87.0,6.0,2304.0,219.0,1457.0,319.0,172.0,15.0,111.0,22.0,111.0,6.0,76.0,11.0
16780,42.0,3.0,28.0,4.0,781.0,36.0,349.0,165.0,88.0,5.0,46.0,15.0,173.0,8.0,91.0,26.0
26517,74.0,7.0,30.0,20.0,1157.0,67.0,557.0,195.0,112.0,9.0,49.0,24.0,37.0,4.0,17.0,6.0
17953,70.0,0.0,37.0,2.0,1878.0,48.0,1084.0,178.0,111.0,1.0,60.0,5.0,64.0,0.0,33.0,1.0
10578,38.0,0.0,26.0,2.0,1020.0,35.0,598.0,129.0,107.0,2.0,61.0,16.0,90.0,2.0,57.0,11.0
783,305.0,12.0,167.0,51.0,3926.0,174.0,1833.0,885.0,261.0,13.0,143.0,44.0,196.0,16.0,90.0,58.0
24634,149.0,5.0,95.0,15.0,4773.0,174.0,2351.0,915.0,269.0,12.0,138.0,47.0,277.0,6.0,159.0,43.0
30567,125.0,10.0,74.0,14.0,1204.0,79.0,608.0,174.0,178.0,15.0,108.0,18.0,58.0,3.0,32.0,9.0
16898,116.0,0.0,67.0,4.0,1707.0,58.0,936.0,241.0,265.0,10.0,141.0,38.0,324.0,11.0,211.0,35.0
23965,26.0,0.0,14.0,1.0,150.0,3.0,90.0,13.0,52.0,2.0,39.0,4.0,84.0,2.0,53.0,11.0
26599,28.0,0.0,20.0,0.0,96.0,1.0,49.0,2.0,21.0,0.0,14.0,0.0,16.0,0.0,10.0,1.0
35392,176.0,7.0,112.0,20.0,2443.0,126.0,1264.0,464.0,232.0,10.0,123.0,37.0,116.0,6.0,58.0,28.0
29818,44.0,5.0,18.0,9.0,592.0,32.0,253.0,141.0,68.0,7.0,17.0,35.0,36.0,4.0,13.0,6.0
9067,101.0,6.0,35.0,32.0,3813.0,165.0,1571.0,911.0,222.0,11.0,64.0,72.0,302.0,13.0,92.0,114.0
7324,75.0,2.0,45.0,9.0,1335.0,48.0,703.0,195.0,97.0,2.0,56.0,12.0,169.0,9.0,95.0,23.0
16940,39.0,1.0,29.0,2.0,605.0,22.0,351.0,68.0,52.0,1.0,35.0,2.0,89.0,6.0,58.0,3.0
3464,232.0,12.0,75.0,78.0,2639.0,126.0,934.0,785.0,273.0,16.0,59.0,102.0,154.0,7.0,31.0,70.0
25785,16.0,0.0,13.0,2.0,604.0,15.0,309.0,115.0,21.0,0.0,13.0,3.0,72.0,0.0,43.0,8.0
17446,607.0,17.0,372.0,64.0,10689.0,396.0,5636.0,1926.0,732.0,29.0,439.0,87.0,493.0,16.0,275.0,71.0
27926,225.0,9.0,71.0,48.0,1788.0,100.0,577.0,507.0,271.0,18.0,77.0,63.0,112.0,8.0,29.0,36.0
34964,99.0,3.0,46.0,17.0,1425.0,32.0,783.0,152.0,143.0,7.0,63.0,21.0,173.0,2.0,109.0,14.0
22554,13.0,1.0,1.0,6.0,69.0,6.0,15.0,19.0,17.0,1.0,2.0,4.0,5.0,0.0,2.0,2.0
22714,68.0,4.0,50.0,2.0,4317.0,224.0,2243.0,763.0,114.0,5.0,60.0,10.0,495.0,18.0,316.0,46.0
4820,73.0,3.0,46.0,5.0,190.0,9.0,105.0,31.0,18.0,0.0,10.0,1.0,18.0,2.0,13.0,1.0
22895,115.0,3.0,58.0,14.0,1139.0,41.0,477.0,234.0,115.0,2.0,33.0,38.0,181.0,10.0,63.0,59.0
2449,71.0,7.0,32.0,9.0,719.0,49.0,293.0,173.0,91.0,7.0,32.0,22.0,80.0,7.0,25.0,19.0
31878,17.0,0.0,13.0,0.0,1752.0,66.0,1208.0,141.0,42.0,0.0,34.0,2.0,61.0,1.0,50.0,4.0
19433,155.0,8.0,52.0,53.0,978.0,58.0,305.0,278.0,59.0,5.0,18.0,24.0,64.0,4.0,14.0,23.0
7601,125.0,6.0,57.0,44.0,1572.0,86.0,509.0,596.0,599.0,36.0,193.0,237.0,645.0,32.0,183.0,278.0
11891,69.0,3.0,39.0,9.0,247.0,11.0,130.0,36.0,114.0,6.0,60.0,16.0,168.0,8.0,96.0,27.0
22825,71.0,4.0,48.0,3.0,1912.0,84.0,1020.0,327.0,172.0,11.0,104.0,16.0,191.0,13.0,115.0,33.0
5702,163.0,11.0,32.0,74.0,2921.0,207.0,631.0,1258.0,196.0,12.0,25.0,89.0,85.0,6.0,17.0,38.0
26029,103.0,4.0,78.0,7.0,811.0,31.0,528.0,73.0,257.0,6.0,185.0,14.0,30.0,1.0,22.0,3.0
27018,42.0,0.0,28.0,0.0,984.0,33.0,553.0,72.0,103.0,2.0,56.0,7.0,99.0,1.0,59.0,6.0
35970,55.0,1.0,30.0,4.0,965.0,28.0,446.0,135.0,63.0,3.0,26.0,10.0,142.0,3.0,74.0,12.0
5225,199.0,13.0,97.0,42.0,4263.0,219.0,1852.0,1068.0,222.0,15.0,93.0,58.0,175.0,4.0,71.0,45.0
33308,33.0,3.0,12.0,12.0,8275.0,529.0,3486.0,1829.0,81.0,6.0,34.0,24.0,100.0,9.0,39.0,27.0
31385,256.0,10.0,122.0,55.0,5888.0,250.0,2595.0,1443.0,264.0,9.0,98.0,69.0,362.0,9.0,169.0,86.0
